project_name,project_short,project_code,latitude,longitude,site_stage,site_type,site_subtype,site_commodities,tectonic_unit,resource_mt,resource_grade_gt,resource_oz,reserve_mt,reserve_grade_gt,reserve_oz,total_gold_oz,tenement_ids,tenement_types,tenement_holders,tenement_status,minedex_url
Katanning Gold,Katanning,J00007,-33.543356,117.908152,Undeveloped,Deposit,Unspecified,"Au, Ag",Yilgarn Craton granites,68.648,1.1084489,2446436.8,37.4,1.10264706,1325862.7,3772299.5,M 70/211,MINING LEASE,AUSGOLD EXPLORATION PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/68fa4f6d-7bef-44c2-9855-cb9aaa392427
Kathleen Valley Gold / ANI,Kathleen Valley,J00329,-27.510907,120.57035,Shut,Mine,Openpit,"Au, Ag",Yilgarn Craton,0.744,2.77311828,66333.3,0.0,0.0,0.0,66333.3,M 36/375,MINING LEASE,IGO COSMOS PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/37de7a15-7d70-46d5-9ec5-08eeea9b8237
Kingston,Kingston,J01284,-28.801986,121.83671,Undeveloped,Deposit,Unspecified,Au,Eastern Goldfields Superterrane,0.018,6.0,3472.3,0.0,0.0,0.0,3472.3,M 39/127,MINING LEASE,"SELGA, MARK",LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/f8c28180-0821-4bea-9e3a-90827e8ac3c3
Kirkalocka,Kirkalocka,J01617,-28.674922,117.761548,Care and Maintenance,Mine,Openpit,"Au, Ag",Youanmi Terrane,15.0,1.14933333,554278.1,11.0,1.1,389023.5,943301.6,M 59/234,MINING LEASE,KIRKALOCKA GOLD SPV PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/b005b467-7eff-4306-9b73-6beaa6e1714a
Kookynie / Nex Metals,Kookynie,J05659,-29.351157,121.462809,Shut,Mine,Openpit,"Au, Ag",Eastern Goldfields Superterrane,1.58,1.60886076,81727.1,0.0,0.0,0.0,81727.1,M 40/22,MINING LEASE,KYM MINING PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/aa13b349-3146-9c97-df79-0b6e6e396ff2
Kookynie East - Leonora South,Kookynie East - Leonora South,J06831,-29.379486,121.415308,Shut,Mine,Openpit,"Au, Ag",Eastern Goldfields Superterrane,0.69,2.15362319,47775.9,0.0,0.0,0.0,47775.9,M 40/117,MINING LEASE,GOLDARC RESOURCES LIMITED,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/7502632a-26a5-c444-984d-b3d2e0c56878
Kookynie Gold,Kookynie,J05732,-29.335388,121.466792,Undeveloped,Deposit,Unspecified,"Au, Ag",Eastern Goldfields Superterrane,0.842,4.32410926,117057.5,0.0,0.0,0.0,117057.5,M 40/362,MINING LEASE,TOJO MINERALS PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/113c3b65-8a90-1437-bda1-ef296d9e9b90
Koongie Park,Koongie Park,J00560,-18.318816,127.543207,Undeveloped,Deposit,Unspecified,"Zn, Cu, Pb, Au, Ag, Mo","Lamboo Province, Central Zone",8.93,0.15823068,45428.9,0.0,0.0,0.0,45428.9,M 80/277,MINING LEASE,KOONGIE PARK PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/30a74848-3ff8-4dec-9862-db2f9daa1c1c
Kulguddi Gold / Duketon Mining,Kulguddi,J01880,-28.508197,122.411034,Undeveloped,Deposit,Unspecified,"Au, Ag",Eastern Goldfields Superterrane,1.9,1.55,94683.8,0.0,0.0,0.0,94683.8,M 38/1291,MINING LEASE,REGIS RESOURCES LIMITED,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/27e37fc7-5a95-4184-af77-02d3fb67477e
Kundana - White Flag,Kundana - White Flag,J00358,-30.696097,121.224594,Undeveloped,Deposit,Unspecified,Au,Eastern Goldfields Superterrane,171.525,1.30236933,7182109.5,50.92,1.29939906,2127263.9,9309373.4,M 16/72,MINING LEASE,KUNDANA GOLD PTY LIMITED,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/98abdfa5-3e62-4bbb-a3a8-2ef0dcbef53a
Kundana East,EKJV,J01718,-30.735645,121.250387,Undeveloped,Deposit,Unspecified,"Au, Ag",Eastern Goldfields Superterrane,0.915,4.68131148,137714.3,0.0,0.0,0.0,137714.3,M 16/309,MINING LEASE,GILT-EDGED MINING PTY LIMITED,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/0323d0dd-f525-48ef-a17b-a5011c60b3ab
Kurnalpi Dryblowing / Shannon,Kurnalpi Dryblowing,J01212,-30.522556,122.243411,Shut,Mine,Dryblowing area,Au,Eastern Goldfields Superterrane,0.015,0.5,241.1,0.0,0.0,0.0,241.1,M 28/72,MINING LEASE,NORTHERN STAR (CAROSUE DAM) PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/875440ef-d68a-46c4-895b-b68636166c12
